DEP,SNHM,cadre_SNHM,cadre_moyen_SNHM,employ̩_SNHM,travailleur_SNHM,18_25ans_SNHM,26_50ans_SNHM,>50ans_SNHM
75,22.20,31.90,17.20,12.30,13.20,11.80,21.70,28.30
92,21.89,30.49,16.93,12.67,14.12,11.01,21.29,26.83
78,20.77,30.03,17.34,12.50,14.46,10.34,19.88,25.56
91,16.91,25.99,15.94,12.03,12.53,10.18,16.46,20.47
94,16.83,25.90,15.89,11.77,12.10,10.31,16.53,20.02
95,16.35,25.51,15.85,11.97,12.43,10.07,16.03,19.55
69,16.21,25.80,15.54,11.35,11.93,9.96,16.04,19.02
77,15.62,25.02,15.74,11.67,12.29,9.97,15.38,18.60
31,15.29,24.04,14.81,10.75,11.46,9.79,14.99,18.12
06,15.25,24.99,16.23,11.02,11.88,9.66,15.00,18.06
38,15.14,24.61,15.11,11.02,11.76,9.71,14.95,17.60
13,15.06,24.91,15.01,10.73,11.73,9.63,14.87,17.81
60,14.29,24.09,15.21,11.08,11.80,9.66,14.18,16.56
90,14.22,25.12,14.34,10.78,11.72,9.47,13.83,16.70
73,14.14,24.65,14.81,10.81,11.94,9.84,13.94,16.60
37,14.06,24.07,14.71,10.61,11.14,9.62,13.93,15.94
63,14.05,23.92,14.63,10.63,11.42,9.52,13.64,16.45
76,14.00,24.48,15.25,10.55,11.83,9.79,13.74,16.25
67,13.97,24.07,14.68,10.68,11.59,9.59,13.80,16.27
74,13.88,24.11,14.72,10.77,11.81,9.81,13.91,15.96
45,13.77,23.95,14.92,10.73,11.23,9.74,13.56,15.78
93,13.77,22.96,14.82,10.91,11.25,9.82,13.66,15.75
01,13.65,24.38,14.55,10.72,11.29,9.64,13.65,15.72
33,13.60,23.49,14.41,10.52,11.18,9.43,13.42,15.81
28,13.56,24.08,14.53,10.76,11.24,9.59,13.39,15.61
64,13.55,24.72,14.34,10.42,10.96,9.38,13.12,16.13
59,13.53,22.83,14.50,10.48,11.15,9.84,13.35,15.54
68,13.45,23.85,14.53,10.36,11.44,9.51,13.28,15.68
34,13.40,23.21,14.22,10.29,10.67,9.26,13.18,15.65
83,13.38,24.07,14.47,10.40,11.03,9.32,13.17,15.71
84,13.28,23.69,14.44,10.33,10.84,9.26,13.10,15.46
35,13.27,22.59,14.04,10.49,10.86,9.49,13.29,14.96
26,13.26,23.44,14.36,10.38,10.81,9.41,13.10,15.31
44,13.25,22.55,14.18,10.39,11.26,9.51,13.26,14.97
51,13.22,23.69,14.63,10.53,11.24,9.77,13.03,15.00
42,13.21,23.27,14.66,10.41,11.05,9.68,13.18,14.86
54,13.15,22.92,14.45,10.30,11.14,9.41,12.90,15.15
21,13.13,23.24,14.22,10.48,11.04,9.49,12.85,15.18
27,13.13,23.64,14.71,10.44,11.22,9.61,12.97,15.00
57,13.02,23.71,14.56,10.07,11.16,9.42,12.72,15.23
86,13.02,23.23,14.25,10.29,10.77,9.40,12.78,14.96
41,13.00,24.01,14.38,10.37,10.74,9.46,12.79,14.78
30,12.99,22.56,14.35,10.17,10.94,9.24,12.78,14.97
87,12.99,22.67,14.06,10.33,10.91,9.40,12.65,14.88
04,12.88,23.04,14.17,10.15,10.87,9.36,12.59,15.12
14,12.88,23.48,14.15,10.15,10.89,9.28,12.68,14.86
07,12.86,23.75,14.38,10.16,10.74,9.40,12.62,14.96
25,12.85,22.96,14.12,10.26,10.99,9.52,12.71,14.54
72,12.83,22.70,14.19,10.36,11.08,9.47,12.74,14.32
50,12.79,23.59,14.46,10.07,10.73,9.53,12.60,14.68
71,12.74,23.35,14.46,10.09,11.03,9.47,12.48,14.59
79,12.72,22.82,13.97,10.61,10.34,9.33,12.53,14.33
16,12.71,23.49,14.09,10.32,10.71,9.37,12.32,14.67
2B,12.71,22.17,15.60,10.24,10.66,9.71,12.32,15.00
62,12.67,22.68,14.20,10.20,11.01,9.48,12.44,14.62
29,12.65,22.69,13.86,10.10,10.69,9.26,12.44,14.47
17,12.57,23.07,13.99,10.13,10.64,9.12,12.34,14.65
22,12.57,22.70,13.93,10.17,10.48,9.37,12.38,14.32
49,12.57,22.61,13.73,10.26,10.62,9.29,12.52,14.10
80,12.51,22.63,14.07,10.14,10.96,9.47,12.40,14.06
2A,12.48,22.48,14.77,10.22,10.76,9.41,12.23,14.78
56,12.45,22.81,13.96,10.13,10.65,9.41,12.30,14.03
40,12.44,23.24,14.11,10.09,10.65,9.23,12.28,14.38
89,12.44,23.03,14.30,10.14,10.70,9.32,12.26,14.20
18,12.44,22.22,14.11,10.17,10.78,9.39,12.11,14.12
19,12.41,22.96,14.00,9.98,10.58,9.22,12.14,14.16
10,12.41,23.16,14.25,10.00,10.47,9.44,12.25,14.00
08,12.41,23.60,14.34,9.99,11.10,9.45,12.16,14.00
81,12.36,22.22,13.79,10.01,10.44,9.17,12.21,13.87
39,12.33,23.18,14.20,10.21,10.72,9.45,12.20,13.96
32,12.32,22.41,13.56,9.94,10.37,9.23,12.16,13.95
82,12.27,22.64,14.06,9.94,10.46,9.22,12.07,14.12
03,12.24,22.66,13.87,10.00,10.77,9.20,11.95,13.97
58,12.23,22.29,13.98,9.96,10.78,9.47,11.97,13.84
53,12.22,23.18,13.72,10.25,10.59,9.27,12.12,13.72
12,12.21,21.74,13.63,10.07,10.85,9.24,12.01,13.83
43,12.18,22.54,13.74,10.08,10.56,9.37,12.04,13.72
09,12.14,22.76,13.76,9.91,10.63,9.24,12.06,13.60
65,12.12,21.76,13.79,9.81,10.75,9.28,11.79,13.79
02,12.12,22.73,14.13,10.08,10.91,9.31,11.96,13.76
55,12.11,23.06,14.12,9.95,10.75,9.24,11.99,13.54
88,12.07,22.26,13.82,9.96,10.70,9.26,12.01,13.30
46,12.01,22.83,13.44,9.79,10.16,9.31,11.64,13.86
66,12.00,22.04,13.56,10.04,10.27,9.06,11.75,13.77
52,12.00,23.25,13.65,10.11,10.53,9.46,11.70,13.65
70,11.97,22.26,13.61,9.97,10.49,9.22,11.77,13.44
85,11.97,22.57,13.46,10.07,10.61,9.30,11.93,13.35
05,11.96,21.28,13.77,9.85,10.85,9.28,11.73,13.91
24,11.94,21.74,13.77,9.99,10.40,9.10,11.67,13.63
61,11.93,23.23,13.42,10.04,10.29,9.18,11.58,13.68
47,11.89,22.42,13.68,9.91,10.32,9.05,11.69,13.53
36,11.86,22.09,14.01,9.93,10.41,9.19,11.65,13.27
11,11.86,21.55,13.81,9.92,10.07,9.05,11.60,13.62
23,11.60,21.88,13.32,9.80,9.66,9.10,11.16,13.48
15,11.53,21.49,13.46,9.89,10.01,9.10,11.30,13.03
48,11.40,20.56,13.12,9.94,9.94,8.98,11.12,13.04
